train_loss,train_acc,val_loss,val_acc,lr,epoch_time,data_frac
0.41710472106933594,0.6883293390274048,0.3476111888885498,0.8126984126984127,0.0001,45.343252199999824,0.7984623456671882
0.3064393401145935,0.7533174157142639,0.2836682200431824,0.8,0.0001,39.78623440000001,0.8207401141121307
0.2532440721988678,0.8016331791877747,0.23737767338752747,0.8571428571428571,0.0001,39.654556200000115,0.8122878766368217
0.21096158027648926,0.8251105546951294,0.25636357069015503,0.8158730158730159,0.0001,39.610818599999675,0.8072779995729051
0.20450958609580994,0.8479074239730835,0.19211168587207794,0.9063492063492063,0.0001,39.79692639999985,0.8105005238040276
0.19170396029949188,0.8516501784324646,0.1886916160583496,0.8841269841269841,0.0001,38.60761840000032,0.8039224718202281
0.16836151480674744,0.8730860352516174,0.18235419690608978,0.8920634920634921,0.0001,42.23573280000028,0.8159425047194016
0.16391302645206451,0.8713847994804382,0.19218985736370087,0.8714285714285714,0.0001,40.992229199999656,0.8275101298012523
0.15191061794757843,0.8863558769226074,0.2193523347377777,0.8333333333333334,0.0001,39.38658699999996,0.8090296527994508
0.14604847133159637,0.8979244232177734,0.133514404296875,0.9238095238095239,0.0001,39.60437129999991,0.808281441579247
0.14463119208812714,0.8935011625289917,0.23094122111797333,0.8222222222222222,0.0001,39.62329030000001,0.809042188134051
0.12368463724851608,0.9050697088241577,0.10680027306079865,0.9603174603174603,0.0001,38.94706479999968,0.8095286029209777
0.13396669924259186,0.9057502150535583,0.13139134645462036,0.9238095238095239,0.0001,39.43866469999966,0.8018587359442507
0.11846493929624557,0.9111942648887634,0.10473835468292236,0.9492063492063492,0.0001,38.80309630000011,0.8111682493111069
0.11016872525215149,0.9132357835769653,0.1465947926044464,0.9111111111111111,0.0001,39.11334310000029,0.7989020683799755
0.12377500534057617,0.9190200567245483,0.32961395382881165,0.7746031746031746,0.0001,38.77404630000001,0.8007442114509866
0.11181361228227615,0.9186797738075256,0.10045087337493896,0.9587301587301588,0.0001,38.560089699999935,0.800053525978252
0.09666300565004349,0.9261653423309326,0.11359211802482605,0.9365079365079365,0.0001,37.29037789999984,0.7952617383451698
0.09294219315052032,0.9404559135437012,0.14846199750900269,0.9047619047619048,0.0001,36.72069839999995,0.7950460144554036
0.10654561221599579,0.925484836101532,0.05581184849143028,0.9920634920634921,0.0001,37.15129359999992,0.7945240918432666
0.08578698337078094,0.9339911341667175,0.10002312064170837,0.9444444444444444,0.0001,37.53406279999945,0.7917714563098774
0.0806281641125679,0.9435181617736816,0.0971558690071106,0.9587301587301588,0.0001,38.03771760000018,0.7953771582089864
0.0864383652806282,0.9397754073143005,0.06964511424303055,0.9666666666666667,0.0001,40.70925309999984,0.8059358384590457
0.07937394082546234,0.9458999633789062,0.0598418302834034,0.9857142857142858,5e-05,38.34749240000019,0.7994371443658522
0.07207343727350235,0.948621928691864,0.0738002210855484,0.9682539682539683,5e-05,37.77484579999964,0.8017121924760638
